iter	Passed	Remaining
886	33675	42256
887	33701	42202
888	33726	42149
889	33753	42096
890	33780	42046
891	33808	41994
892	33836	41945
893	33864	41895
894	33895	41848
895	33924	41800
896	33955	41753
897	33987	41708
898	34018	41661
899	34050	41616
900	34082	41572
901	34116	41529
902	34153	41490
903	34189	41451
904	34224	41410
905	34257	41366
906	34289	41321
907	34323	41278
908	34357	41236
909	34389	41192
910	34424	41150
911	34456	41105
912	34490	41063
913	34521	41017
914	34557	40977
915	34588	40932
916	34620	40887
917	34654	40845
918	34688	40802
919	34721	40760
920	34757	40720
921	34790	40677
922	34824	40634
923	34858	40592
924	34890	40548
925	34923	40504
926	34955	40461
927	34987	40416
928	35021	40374
929	35054	40331
930	35089	40290
931	35129	40255
932	35172	40224
933	35214	40191
934	35258	40160
935	35305	40133
936	35352	40106
937	35400	40080
938	35448	40054
939	35493	40024
940	35538	39995
941	35583	39965
942	35628	39935
943	35676	39909
944	35723	39881
945	35768	39852
946	35814	39822
947	35857	39791
948	35900	39758
949	35943	39727
950	35988	39696
951	36037	39671
952	36083	39642
953	36127	39611
954	36170	39578
955	36213	39546
956	36257	39515
957	36300	39483
958	36344	39451
959	36388	39421
960	36432	39389
961	36474	39356
962	36515	39321
963	36559	39290
964	36602	39257
965	36646	39226
966	36691	39195
967	36735	39163
968	36779	39133
969	36823	39101
970	36865	39067
971	36909	39036
972	36955	39006
973	36997	38972
974	37039	38939
975	37081	38905
976	37124	38872
977	37166	38838
978	37210	38807
979	37253	38773
980	37297	38742
981	37341	38710
982	37385	38678
983	37428	38645
984	37474	38615
985	37517	38582
986	37561	38550
987	37604	38518
988	37648	38486
989	37694	38455
990	37735	38421
991	37780	38389
992	37822	38355
993	37867	38324
994	37909	38290
995	37953	38258
996	37995	38224
997	38040	38192
998	38082	38158
999	38124	38124
1000	38167	38091
1001	38208	38056
1002	38250	38021
1003	38294	37989
1004	38337	37955
1005	38379	37921
1006	38424	37890
1007	38467	37856
1008	38512	37825
1009	38547	37784
1010	38570	37731
1011	38594	37679
1012	38630	37639
1013	38655	37587
1014	38690	37547
1015	38726	37507
1016	38762	37467
1017	38786	37414
1018	38822	37375
1019	38847	37323
1020	38871	37272
1021	38896	37221
1022	38935	37184
1023	38959	37133
1024	38995	37093
1025	39019	37041
1026	39043	36990
1027	39067	36939
1028	39091	36888
1029	39115	36836
1030	39138	36785
1031	39162	36733
1032	39198	36694
1033	39223	36644
1034	39247	36593
1035	39271	36542
1036	39307	36502
1037	39344	36463
1038	39369	36414
1039	39393	36362
1040	39429	36323
1041	39453	36273
1042	39480	36224
1043	39504	36174
1044	39530	36126
1045	39558	36079
1046	39586	36032
1047	39614	35985
1048	39644	35941
1049	39675	35896
1050	39704	35851
1051	39734	35806
1052	39764	35761
1053	39795	35717
1054	39826	35674
1055	39857	35630
1056	39888	35586
1057	39919	35543
1058	39950	35498
1059	39981	35455
1060	40013	35412
1061	40045	35370
1062	40077	35327
1063	40111	35285
1064	40142	35242
1065	40173	35199
1066	40204	35155
1067	40237	35113
1068	40269	35070
1069	40300	35027
1070	40332	34984
1071	40364	34942
1072	40395	34898
1073	40427	34856
1074	40460	34814
1075	40491	34771
1076	40521	34727
1077	40553	34684
1078	40583	34640
1079	40614	34597
1080	40646	34555
1081	40676	34511
1082	40708	34468
1083	40739	34425
1084	40773	34384
1085	40807	34344
1086	40847	34308
1087	40893	34278
1088	40937	34245
1089	40979	34212
1090	41024	34181
1091	41067	34147
1092	41108	34113
1093	41151	34079
1094	41195	34047
1095	41238	34014
1096	41280	33980
1097	41322	33946
1098	41364	33912
1099	41405	33877
1100	41450	33845
1101	41494	33812
1102	41539	33781
1103	41583	33748
1104	41625	33714
1105	41667	33680
1106	41711	33647
1107	41753	33614
1108	41796	33580
1109	41840	33548
1110	41883	33514
1111	41926	33480
1112	41966	33445
1113	42009	33411
1114	42053	33378
1115	42096	33344
1116	42139	33311
1117	42182	33277
1118	42225	33244
1119	42268	33210
1120	42309	33176
1121	42351	33141
1122	42393	33107
1123	42437	33074
1124	42481	33041
1125	42523	33006
1126	42566	32972
1127	42609	32938
1128	42651	32904
1129	42696	32872
1130	42738	32838
1131	42780	32803
1132	42822	32769
1133	42868	32736
1134	42912	32704
1135	42954	32669
1136	42996	32634
1137	43038	32600
1138	43081	32566
1139	43124	32532
